Cape Cod Hours  2023-2024,,,
,,,
Financial Year Summary,,,
25/11/2023,0.5,tix,
27/11/2023,3,"ToDo tasks home screen, tix",
28/11/2023,3.5,ToDo emails,
29/11/2023,3,tix,
30/11/2023,4.5,"Code cleanup, WHS inspection module",
"$2,762.50 ",32.5,Total hours,
$276.25 ,GST,,
"$3,038.75 ",Total,,
,,,
December,,,
4/12/2023,6,"sitenotes, WHS Inspection, tix",
5/12/2023,4.5,mac setup,
8/12/2023,6.5,"sitenotes, tix",
11/12/2023,0.5,tix,
12/12/2023,9,"tix, forms",
13/12/2023,11,"tix, forms",
14/12/2023,9.5,forms,
15/12/2023,3,"tix, notifications",
18/12/2023,6.5,forms,
19/12/2023,5,"tix, php 8.2 upgrade bug",
20/12/2023,2,tix,
22/12/2023,1,tix,
23/12/2023,1,tix,
"$5,567.50 ",65.5,Total hours,
$556.75 ,GST,,
"$6,124.25 ",Total,,
,,,
January,,,
8/1/2024,5,"forms, laravel 10 upgrade",
9/1/2024,4.5,forms ,
10/1/2024,4.5,forms ,
11/1/2024,7,site note import,
13/1/2024,1,email,
17/1/2024,3,tix,
18/1/2024,1,tix,
19/1/2024,1,tix,
29/1/2024,1,site note,
30/1/2024,2,tix,
"$2,550.00 ",30,Total hours,
$255.00 ,GST,,
"$2,805.00 ",Total,,
,,,
Febuary,,,
1/2/2024,3,tix,
2/2/2024,5.5,trade planner,
5/2/2024,1.5,tix,
6/2/2024,0.5,tix,
15/2/2024,1.5,tix,
16/2/2024,2,tix,
20/2/2024,4,tix,
21/2/2024,2,tix,
22/2/2024,4,tix,
23/2/2024,4,tix,
24/2/2024,2,tix,
28/2/2024,1,tix,
29/2/2024,2.5,tix,
"$2,847.50 ",33.5,Total hours,
$284.75 ,GST,,
"$3,132.25 ",Total,,
,,,
March,,,
7/3/2024,1,tix,
8/3/2024,2.5,tix,
12/3/2024,1,tix,
13/3/2024,4,tix,
14/3/2024,3,tix,
15/3/2024,2,tix,
16/3/2024,2,tix,
22/3/2024,7,maintenance,
23/3/2024,5,maintenance,
25/3/2024,3.5,maintenance,
28/3/2024,7.5,"zoho, maintenance",
"$3,272.50 ",38.5,Total hours,
$327.25 ,GST,,
"$3,599.75 ",Total,,
,,,
April,,,
3/4/2024,6.5,maintenance,
4/4/2024,1,tix,
5/4/2024,3,databuild,
11/4/2024,1,tix,
17/4/2024,4,databuild,
18/4/2024,0.5,zoho,
22/4/2024,5,tix,
23/4/2024,1.5,tix,
24/4/2024,2,tix,
26/4/2024,5.5,"contract extension, report, todo tasks",
30/4/2024,1.5,zoho,
"$2,677.50 ",31.5,Total hours,2
$267.75 ,GST,,7
"$2,945.25 ",Total,,
,,,
May,,,
1/5/2024,7,tix,
2/5/2024,5,zoho,
7/5/2024,7,zoho,
9/5/2024,5,zoho,
9/5/2024,2.5,tix,
10/5/2024,2,tix,
10/5/2024,6,zoho,
13/5/2024,1,zoho,
13/5/2024,2,tix,
15/5/2024,6,tix,
17/5/2024,1,client planner,
23/5/2024,3,zoho,
24/5/2024,3,zoho,
29/5/2024,4,tix,
30/5/2024,4,"tix, client planner, maintenance",
30/5/2024,3,zoho,
31/5/2024,9,prac completion,
"$5,992.50 ",70.5,Total hours,
$599.25 ,GST,zoho,33
"$6,591.75 ",Total,SWS,37.5
,,,
June,,,
4/6/2024,5,"prac completion, tix",
5/6/2024,1,tix,
6/6/2024,3,tix,
7/6/2024,2.5,tix,
7/6/2024,1.5,zoho,
11/6/2024,6.5,support hours,
12/6/2024,2,tix,
12/6/2024,1,zoho,
13/6/2024,4,tix,
17/6/2024,1,zoho,
18/6/2024,6,zoho,
18/6/2024,4.5,qa upcoming,
19/6/2024,1,tix,
20/6/2024,8,zoho,
21/6/2024,7.5,zoho,
24/6/2024,1,tix,
24/6/2024,8.5,zoho tokens,
25/6/2024,8,zoho tokens,
28/6/2024,4,zoho tokens,
28/6/2024,1,databuild,
"$6,545.00 ",77,Total hours,
$654.50 ,GST,zoho,43
"$7,199.50 ",Total,SWS,34
